dateTime,SSID,HOST,MACID,EVENT,RSSI
2020-06-10 04:27:00,ENTCORP,ENT-AP-04-01-01-02,47:45:0a:5b:a9:bb,associated,-89
2020-06-10 04:56:29,ENTCORP,ENT-AP-04-01-01-02,47:45:0a:5b:a9:bb,disassociated,-75
2020-06-10 05:04:50,ENTCORP,ENT-AP-03-03-01-02,47:45:0a:5b:a9:bb,associated,-75
2020-06-10 13:27:44,ENTCORP,ENT-AP-03-03-01-02,47:45:0a:5b:a9:bb,disassociated,-85
2020-06-10 03:21:37,ENTCORP,ENT-AP-02-03-02-01,5a:df:16:97:3f:ae,associated,-88
2020-06-10 10:02:22,ENTCORP,ENT-AP-02-03-02-01,5a:df:16:97:3f:ae,disassociated,-90
2020-06-10 10:12:18,ENTCORP,ENT-AP-03-01-01-02,5a:df:16:97:3f:ae,associated,-74
2020-06-10 15:08:55,ENTCORP,ENT-AP-03-01-01-02,5a:df:16:97:3f:ae,disassociated,-85
2020-06-10 02:21:41,ENTCORP,ENT-AP-01-03-02-03,9a:f2:25:78:49:dd,associated,-86
2020-06-10 04:01:51,ENTCORP,ENT-AP-01-03-02-03,9a:f2:25:78:49:dd,disassociated,-86
2020-06-10 04:07:16,ENTCORP,ENT-AP-01-03-02-03,9a:f2:25:78:49:dd,associated,-73
2020-06-10 11:57:10,ENTCORP,ENT-AP-01-03-02-03,9a:f2:25:78:49:dd,disassociated,-81
2020-06-10 03:57:36,ENTCORP,ENT-AP-03-01-01-02,24:6d:7c:14:2f:53,associated,-81
2020-06-10 11:58:41,ENTCORP,ENT-AP-03-01-01-02,24:6d:7c:14:2f:53,disassociated,-78
2020-06-10 12:05:37,ENTCORP,ENT-AP-04-01-02-02,24:6d:7c:14:2f:53,associated,-79
2020-06-10 20:58:50,ENTCORP,ENT-AP-04-01-02-02,24:6d:7c:14:2f:53,disassociated,-92
2020-06-10 06:55:19,ENTCORP,ENT-AP-03-03-02-02,dc:a0:8b:34:e2:51,associated,-84
2020-06-10 08:10:28,ENTCORP,ENT-AP-03-03-02-02,dc:a0:8b:34:e2:51,disassociated,-81
2020-06-10 08:23:46,ENTCORP,ENT-AP-01-02-01-02,dc:a0:8b:34:e2:51,associated,-74
2020-06-10 11:11:20,ENTCORP,ENT-AP-01-02-01-02,dc:a0:8b:34:e2:51,disassociated,-78
2020-06-10 11:40:29,ENTCORP,ENT-AP-03-03-02-02,dc:a0:8b:34:e2:51,associated,-81
2020-06-10 15:12:17,ENTCORP,ENT-AP-03-03-02-02,dc:a0:8b:34:e2:51,disassociated,-79
2020-06-10 15:22:29,ENTCORP,ENT-AP-02-03-02-03,dc:a0:8b:34:e2:51,associated,-85
2020-06-10 23:20:38,ENTCORP,ENT-AP-02-03-02-03,dc:a0:8b:34:e2:51,disassociated,-70
2020-06-10 03:38:28,ENTCORP,ENT-AP-02-03-03-02,bd:53:3c:a3:af:e9,associated,-79
